Python function calls per render (100x100)
function                              original   optimized
Vector.mustBeVector                    520,539           0
Vector.__init__                        452,943      57,338
Vector.dot                             509,871           0
Sphere.intersectionTime                179,457     179,457
Point.__sub__                          277,865      14,524
Point.isPoint                          277,865           0
Vector.scale                           149,743           0
Ray.__init__                            98,172      26,000
Vector.normalized                      109,887           3
Vector.magnitude                       109,887           0
Halfspace.intersectionTime              25,501      25,501
addColours                              15,999      15,999
Scene.rayColour                         15,333      15,333
Scene._lightIsVisible                   10,666      10,666
Vector.__add__                          20,000           0
Canvas.plot                             10,000      10,000
Vector.isPoint                          20,000           0
<listcomp>                              15,265           0
firstIntersection                       15,265           0
Point.__init__                           5,345       5,345
Scene.visibleLights                      5,333       5,333
Ray.pointAtTime                          5,333       5,333
CheckerboardSurface.colourAt             5,333       5,333
Vector.reflectThrough                    5,333       5,333
Halfspace.normalAt                       3,857       3,857
TOTAL calls                          2,882,307     392,204

objects allocated                     original   optimized
Vector                                 452,943      57,338
Point                                    5,345       5,345
Ray                                     98,172      26,000
